"","kratica","datum","tip","tecaj"
"1","USD",2016-09-01,"nakupni",1
"2","EUR",2016-09-01,"nakupni",0.8933319088
"3","GBP",2016-09-01,"nakupni",0.7534598385
"4","INR",2016-09-01,"nakupni",66.8708162316
"5","AUD",2016-09-01,"nakupni",1.3261956061
"6","CAD",2016-09-01,"nakupni",1.3105512032
"7","SGD",2016-09-01,"nakupni",1.3593772457
"8","CHF",2016-09-01,"nakupni",0.9791918482
"9","MYR",2016-09-01,"nakupni",4.0934533101
"10","JPY",2016-09-01,"nakupni",103.2323335984
"11","CNY",2016-09-01,"nakupni",6.6738445427
"12","NZD",2016-09-01,"nakupni",1.3734721422
"13","THB",2016-09-01,"nakupni",34.6070033758
"14","HUF",2016-09-01,"nakupni",276.7737429522
"15","AED",2016-09-01,"nakupni",3.672901038
"16","HKD",2016-09-01,"nakupni",7.7571380347
"17","MXN",2016-09-01,"nakupni",18.8295203812
"18","ZAR",2016-09-01,"nakupni",14.686242213
"19","PHP",2016-09-01,"nakupni",46.7259549605
"20","SEK",2016-09-01,"nakupni",8.5522066367
"21","IDR",2016-09-01,"nakupni",13271.419652866
"22","SAR",2016-09-01,"nakupni",3.750215606
"23","BRL",2016-09-01,"nakupni",3.247259069
"24","TRY",2016-09-01,"nakupni",2.9694172282
"25","KES",2016-09-01,"nakupni",101.2194347513
"26","KRW",2016-09-01,"nakupni",1120.0122298557
"27","EGP",2016-09-01,"nakupni",8.8708482604
"28","IQD",2016-09-01,"nakupni",1162.9879062432
"29","NOK",2016-09-01,"nakupni",8.3272813992
"30","KWD",2016-09-01,"nakupni",0.3022489985
"31","RUB",2016-09-01,"nakupni",65.943118469
"32","DKK",2016-09-01,"nakupni",6.6477152272
"33","PKR",2016-09-01,"nakupni",104.5604086178
"34","ILS",2016-09-01,"nakupni",3.7675337627
"35","PLN",2016-09-01,"nakupni",3.9018514868
"36","QAR",2016-09-01,"nakupni",3.6413191335
"37","XAU",2016-09-01,"nakupni",0.0007612879
"38","OMR",2016-09-01,"nakupni",0.3850103495
"39","COP",2016-09-01,"nakupni",2955.7601201156
"40","CLP",2016-09-01,"nakupni",679.722351363
"41","TWD",2016-09-01,"nakupni",31.7513722496
"42","ARS",2016-09-01,"nakupni",14.8832859795
"43","CZK",2016-09-01,"nakupni",24.1386525004
"44","VND",2016-09-01,"nakupni",22298.642521543
"45","MAD",2016-09-01,"nakupni",9.7364035372
"46","JOD",2016-09-01,"nakupni",0.708426497
"47","BHD",2016-09-01,"nakupni",0.3771512102
"48","XOF",2016-09-01,"nakupni",585.9873188766
"49","LKR",2016-09-01,"nakupni",145.4270465221
"50","UAH",2016-09-01,"nakupni",26.6371544287
"51","NGN",2016-09-01,"nakupni",309.9377353817
"52","TND",2016-09-01,"nakupni",2.2064032228
"53","UGX",2016-09-01,"nakupni",3370.8399119899
"54","RON",2016-09-01,"nakupni",3.9796428842
"55","BDT",2016-09-01,"nakupni",78.3869549413
"56","PEN",2016-09-01,"nakupni",3.3894414324
"57","GEL",2016-09-01,"nakupni",2.2898253465
"58","XAF",2016-09-01,"nakupni",585.9873188766
"59","FJD",2016-09-01,"nakupni",2.0652477437
"60","VEF",2016-09-01,"nakupni",9.962753501
"61","BYN",2016-09-01,"nakupni",1.9609964616
"62","HRK",2016-09-01,"nakupni",6.6834385667
"63","UZS",2016-09-01,"nakupni",2989.6259977877
"64","BGN",2016-09-01,"nakupni",1.7476640238
"65","DZD",2016-09-01,"nakupni",109.3132010442
"66","IRR",2016-09-01,"nakupni",30678.527988501
"67","DOP",2016-09-01,"nakupni",46.079631799
"68","ISK",2016-09-01,"nakupni",115.739803034
"69","XAG",2016-09-01,"nakupni",0.0530825499
"70","CRC",2016-09-01,"nakupni",549.8460396061
"71","SYP",2016-09-01,"nakupni",214.4044610902
"72","LYD",2016-09-01,"nakupni",1.3843131368
"73","JMD",2016-09-01,"nakupni",127.0998798317
"74","MUR",2016-09-01,"nakupni",35.183277301
"75","GHS",2016-09-01,"nakupni",3.9559276822
"76","AOA",2016-09-01,"nakupni",165.7354667075
"77","UYU",2016-09-01,"nakupni",28.5573908287
"78","AFN",2016-09-01,"nakupni",66.7017913929
"79","LBP",2016-09-01,"nakupni",1506.0960076054
"80","XPF",2016-09-01,"nakupni",106.6028530744
"81","TTD",2016-09-01,"nakupni",6.6874899412
"82","TZS",2016-09-01,"nakupni",2183.5587415441
"83","ALL",2016-09-01,"nakupni",123.3535386434
"84","XCD",2016-09-01,"nakupni",2.7000000068
"85","GTQ",2016-09-01,"nakupni",7.54965176
"86","NPR",2016-09-01,"nakupni",107.1919357364
"87","BOB",2016-09-01,"nakupni",6.9070835325
"88","ZWD",2016-09-01,"nakupni",361.9
"89","BBD",2016-09-01,"nakupni",2
"90","CUC",2016-09-01,"nakupni",1
"91","LAK",2016-09-01,"nakupni",8083.7240210495
"92","BND",2016-09-01,"nakupni",1.3593772457
"93","BWP",2016-09-01,"nakupni",10.8585511874
"94","HNL",2016-09-01,"nakupni",22.8669548183
"95","PYG",2016-09-01,"nakupni",5529.6023768816
"96","ETB",2016-09-01,"nakupni",22.1295239871
"97","NAD",2016-09-01,"nakupni",14.686242213
"98","PGK",2016-09-01,"nakupni",3.1696073703
"99","SDG",2016-09-01,"nakupni",6.0711918185
"100","MOP",2016-09-01,"nakupni",7.9898521758
"101","NIO",2016-09-01,"nakupni",28.8558502999
"102","BMD",2016-09-01,"nakupni",1
"103","KZT",2016-09-01,"nakupni",341.107014328
"104","PAB",2016-09-01,"nakupni",1
"105","BAM",2016-09-01,"nakupni",1.7472053471
"106","GYD",2016-09-01,"nakupni",205.4574011775
"107","YER",2016-09-01,"nakupni",250.0304189458
"108","MGA",2016-09-01,"nakupni",3031.8945939648
"109","KYD",2016-09-01,"nakupni",0.8200001312
"110","MZN",2016-09-01,"nakupni",73.0699185408
"111","RSD",2016-09-01,"nakupni",110.089844322
"112","SCR",2016-09-01,"nakupni",13.07260178
"113","AMD",2016-09-01,"nakupni",474.7481461085
"114","SBD",2016-09-01,"nakupni",7.7851304009
"115","AZN",2016-09-01,"nakupni",1.6641096512
"116","SLL",2016-09-01,"nakupni",5604.8051071528
"117","TOP",2016-09-01,"nakupni",2.2049297757
"118","BZD",2016-09-01,"nakupni",1.9967749212
"119","MWK",2016-09-01,"nakupni",717.3917552231
"120","GMD",2016-09-01,"nakupni",42.610960368
"121","BIF",2016-09-01,"nakupni",1659.6581421723
"122","SOS",2016-09-01,"nakupni",579.4851574012
"123","HTG",2016-09-01,"nakupni",64.8555376857
"124","GNF",2016-09-01,"nakupni",9086.476918414
"125","MVR",2016-09-01,"nakupni",15.2307196006
"126","MNT",2016-09-01,"nakupni",2190.5134642541
"127","CDF",2016-09-01,"nakupni",978.0261804679
"128","STD",2016-09-01,"nakupni",21982.158128915
"129","TJS",2016-09-01,"nakupni",7.868899724
"130","KPW",2016-09-01,"nakupni",129.9676607977
"131","MMK",2016-09-01,"nakupni",1210.9248726863
"132","LSL",2016-09-01,"nakupni",14.686242213
"133","LRD",2016-09-01,"nakupni",90.0423326524
"134","KGS",2016-09-01,"nakupni",68.8989940747
"135","GIP",2016-09-01,"nakupni",0.7534598385
"136","XPT",2016-09-01,"nakupni",0.0009532008
"137","MDL",2016-09-01,"nakupni",19.7304613726
"138","CUP",2016-09-01,"nakupni",26.5
"139","KHR",2016-09-01,"nakupni",4077.4428673252
"140","MKD",2016-09-01,"nakupni",55.0339490005
"141","VUV",2016-09-01,"nakupni",107.8959830271
"142","MRO",2016-09-01,"nakupni",355.1979349933
"143","ANG",2016-09-01,"nakupni",1.7803199924
"144","SZL",2016-09-01,"nakupni",14.686242213
"145","CVE",2016-09-01,"nakupni",98.9576308137
"146","SRD",2016-09-01,"nakupni",7.4293990333
"147","XPD",2016-09-01,"nakupni",0.0015008231
"148","SVC",2016-09-01,"nakupni",8.75
"149","BSD",2016-09-01,"nakupni",1
"150","XDR",2016-09-01,"nakupni",0.7151499935
"151","RWF",2016-09-01,"nakupni",802.0955257463
"152","AWG",2016-09-01,"nakupni",1.79
"153","DJF",2016-09-01,"nakupni",177.3765003533
"154","BTN",2016-09-01,"nakupni",66.8708162316
"155","KMF",2016-09-01,"nakupni",439.4904891575
"156","WST",2016-09-01,"nakupni",2.5390051633
"157","SPL",2016-09-01,"nakupni",0.1666666667
"158","ERN",2016-09-01,"nakupni",10.4699971239
"159","FKP",2016-09-01,"nakupni",0.7534598385
"160","SHP",2016-09-01,"nakupni",0.7534598385
"161","JEP",2016-09-01,"nakupni",0.7534598385
"162","TMT",2016-09-01,"nakupni",3.5
"163","TVD",2016-09-01,"nakupni",1.3261956061
"164","IMP",2016-09-01,"nakupni",0.7534598385
"165","GGP",2016-09-01,"nakupni",0.7534598385
"166","ZMW",2016-09-01,"nakupni",9.6646247614
"167","USD",2016-09-02,"nakupni",1
"168","EUR",2016-09-02,"nakupni",0.896141755
"169","GBP",2016-09-02,"nakupni",0.7520975473
"170","INR",2016-09-02,"nakupni",66.5850766511
"171","AUD",2016-09-02,"nakupni",1.3233813044
"172","CAD",2016-09-02,"nakupni",1.3000124868
"173","SGD",2016-09-02,"nakupni",1.3595412272
"174","CHF",2016-09-02,"nakupni",0.9801779525
"175","MYR",2016-09-02,"nakupni",4.094450506
"176","JPY",2016-09-02,"nakupni",104.1539522321
"177","CNY",2016-09-02,"nakupni",6.6795965889
"178","NZD",2016-09-02,"nakupni",1.372744457
"179","THB",2016-09-02,"nakupni",34.5898718085
"180","HUF",2016-09-02,"nakupni",278.0948747382
"181","AED",2016-09-02,"nakupni",3.6731436636
"182","HKD",2016-09-02,"nakupni",7.755702854
"183","MXN",2016-09-02,"nakupni",18.6447958967
"184","ZAR",2016-09-02,"nakupni",14.4802040578
"185","PHP",2016-09-02,"nakupni",46.6242012199
"186","SEK",2016-09-02,"nakupni",8.5887400363
"187","IDR",2016-09-02,"nakupni",13216.08927895
"188","SAR",2016-09-02,"nakupni",3.7501899354
"189","BRL",2016-09-02,"nakupni",3.2490978796
"190","TRY",2016-09-02,"nakupni",2.9548468754
"191","KES",2016-09-02,"nakupni",101.1706122716
"192","KRW",2016-09-02,"nakupni",1115.7690125535
"193","EGP",2016-09-02,"nakupni",8.8790335825
"194","IQD",2016-09-02,"nakupni",1158.6277097983
"195","NOK",2016-09-02,"nakupni",8.3210333577
"196","KWD",2016-09-02,"nakupni",0.3018582818
"197","RUB",2016-09-02,"nakupni",65.0682466511
"198","DKK",2016-09-02,"nakupni",6.6675424467
"199","PKR",2016-09-02,"nakupni",104.413585686
"200","ILS",2016-09-02,"nakupni",3.7614438907
"201","PLN",2016-09-02,"nakupni",3.9170716078
"202","QAR",2016-09-02,"nakupni",3.6413886204
"203","XAU",2016-09-02,"nakupni",0.0007581186
"204","OMR",2016-09-02,"nakupni",0.3850478503
"205","COP",2016-09-02,"nakupni",2964.1421466307
"206","CLP",2016-09-02,"nakupni",673.5214653327
"207","TWD",2016-09-02,"nakupni",31.6661156598
"208","ARS",2016-09-02,"nakupni",14.8859202068
"209","CZK",2016-09-02,"nakupni",24.214679936
"210","VND",2016-09-02,"nakupni",22224.253653333
"211","MAD",2016-09-02,"nakupni",9.7462135574
"212","JOD",2016-09-02,"nakupni",0.7084717067
"213","BHD",2016-09-02,"nakupni",0.3769378075
"214","XOF",2016-09-02,"nakupni",587.8304572024
"215","LKR",2016-09-02,"nakupni",144.7823342387
"216","UAH",2016-09-02,"nakupni",26.6739840157
"217","NGN",2016-09-02,"nakupni",314.7996166272
"218","TND",2016-09-02,"nakupni",2.2017892313
"219","UGX",2016-09-02,"nakupni",3371.7992841219
"220","RON",2016-09-02,"nakupni",3.9864370001
"221","BDT",2016-09-02,"nakupni",78.0835429506
"222","PEN",2016-09-02,"nakupni",3.3909837896
"223","GEL",2016-09-02,"nakupni",2.2898253465
"224","XAF",2016-09-02,"nakupni",587.8304572024
"225","FJD",2016-09-02,"nakupni",2.0592978523
"226","VEF",2016-09-02,"nakupni",9.9507591772
"227","BYN",2016-09-02,"nakupni",1.9595845798
"228","HRK",2016-09-02,"nakupni",6.6918523199
"229","UZS",2016-09-02,"nakupni",2989.6259977877
"230","BGN",2016-09-02,"nakupni",1.750534756
"231","DZD",2016-09-02,"nakupni",109.261816952
"232","IRR",2016-09-02,"nakupni",31203.7216
"233","DOP",2016-09-02,"nakupni",46.1373560106
"234","ISK",2016-09-02,"nakupni",115.9021235676
"235","XAG",2016-09-02,"nakupni",0.0520095195
"236","CRC",2016-09-02,"nakupni",550.744900505
"237","SYP",2016-09-02,"nakupni",214.5896670337
"238","LYD",2016-09-02,"nakupni",1.3797192318
"239","JMD",2016-09-02,"nakupni",127.2336684274
"240","MUR",2016-09-02,"nakupni",35.3182173031
"241","GHS",2016-09-02,"nakupni",3.9694448187
"242","AOA",2016-09-02,"nakupni",165.7352346479
"243","UYU",2016-09-02,"nakupni",28.5539848937
"244","AFN",2016-09-02,"nakupni",66.7388910275
"245","LBP",2016-09-02,"nakupni",1507.0528690641
"246","XPF",2016-09-02,"nakupni",106.9381569245
"247","TTD",2016-09-02,"nakupni",6.6939120117
"248","TZS",2016-09-02,"nakupni",2176.2912517893
"249","ALL",2016-09-02,"nakupni",122.8237172598
"250","XCD",2016-09-02,"nakupni",2.7000001106
"251","GTQ",2016-09-02,"nakupni",7.5454196628
"252","NPR",2016-09-02,"nakupni",106.9639705986
"253","BOB",2016-09-02,"nakupni",6.9412270266
"254","ZWD",2016-09-02,"nakupni",361.9
"255","BBD",2016-09-02,"nakupni",2
"256","CUC",2016-09-02,"nakupni",1
"257","LAK",2016-09-02,"nakupni",8055.5026745711
"258","BND",2016-09-02,"nakupni",1.3595412272
"259","BWP",2016-09-02,"nakupni",10.8115705428
"260","HNL",2016-09-02,"nakupni",22.8959086606
"261","PYG",2016-09-02,"nakupni",5550.4058613668
"262","ETB",2016-09-02,"nakupni",22.1381905704
"263","NAD",2016-09-02,"nakupni",14.4802040578
"264","PGK",2016-09-02,"nakupni",3.1696073703
"265","SDG",2016-09-02,"nakupni",6.069985095
"266","MOP",2016-09-02,"nakupni",7.9883739396
"267","NIO",2016-09-02,"nakupni",28.8591999805
"268","BMD",2016-09-02,"nakupni",1
"269","KZT",2016-09-02,"nakupni",339.7802200595
"270","PAB",2016-09-02,"nakupni",1
"271","BAM",2016-09-02,"nakupni",1.7527009287
"272","GYD",2016-09-02,"nakupni",207.064031651
"273","YER",2016-09-02,"nakupni",250.044012558
"274","MGA",2016-09-02,"nakupni",3037.4932651735
"275","KYD",2016-09-02,"nakupni",0.8199999967
"276","MZN",2016-09-02,"nakupni",73.6030361273
"277","RSD",2016-09-02,"nakupni",110.2195398296
"278","SCR",2016-09-02,"nakupni",13.0868228997
"279","AMD",2016-09-02,"nakupni",474.7474207036
"280","SBD",2016-09-02,"nakupni",7.7669902913
"281","AZN",2016-09-02,"nakupni",1.6643569553
"282","SLL",2016-09-02,"nakupni",5622.6319755217
"283","TOP",2016-09-02,"nakupni",2.177866949
"284","BZD",2016-09-02,"nakupni",2.0087523996
"285","MWK",2016-09-02,"nakupni",720.1012917851
"286","GMD",2016-09-02,"nakupni",42.6533008991
"287","BIF",2016-09-02,"nakupni",1663.0563117687
"288","SOS",2016-09-02,"nakupni",576.9874332137
"289","HTG",2016-09-02,"nakupni",64.8769761906
"290","GNF",2016-09-02,"nakupni",9035.9548290342
"291","MVR",2016-09-02,"nakupni",15.3496056603
"292","MNT",2016-09-02,"nakupni",2213.6951821435
"293","CDF",2016-09-02,"nakupni",988.8977829038
"294","STD",2016-09-02,"nakupni",21882.566151422
"295","TJS",2016-09-02,"nakupni",7.868899724
"296","KPW",2016-09-02,"nakupni",129.8044141396
"297","MMK",2016-09-02,"nakupni",1214.4959256148
"298","LSL",2016-09-02,"nakupni",14.4802040578
"299","LRD",2016-09-02,"nakupni",89.9893110905
"300","KGS",2016-09-02,"nakupni",68.9019848595
"301","GIP",2016-09-02,"nakupni",0.7520975473
"302","XPT",2016-09-02,"nakupni",0.0009463511
"303","MDL",2016-09-02,"nakupni",19.758946579
"304","CUP",2016-09-02,"nakupni",26.5
"305","KHR",2016-09-02,"nakupni",4081.0955028934
"306","MKD",2016-09-02,"nakupni",55.1019717963
"307","VUV",2016-09-02,"nakupni",109.5030779017
"308","MRO",2016-09-02,"nakupni",356.7973333076
"309","ANG",2016-09-02,"nakupni",1.7892001527
"310","SZL",2016-09-02,"nakupni",14.4802040578
"311","CVE",2016-09-02,"nakupni",98.4813797051
"312","SRD",2016-09-02,"nakupni",7.4710418565
"313","XPD",2016-09-02,"nakupni",0.0014927649
"314","SVC",2016-09-02,"nakupni",8.75
"315","BSD",2016-09-02,"nakupni",1
"316","XDR",2016-09-02,"nakupni",0.7161899941
"317","RWF",2016-09-02,"nakupni",803.2930522186
"318","AWG",2016-09-02,"nakupni",1.79
"319","DJF",2016-09-02,"nakupni",177.7347137942
"320","BTN",2016-09-02,"nakupni",66.5850766511
"321","KMF",2016-09-02,"nakupni",440.8728429018
"322","WST",2016-09-02,"nakupni",2.504706384
"323","SPL",2016-09-02,"nakupni",0.1666666667
"324","ERN",2016-09-02,"nakupni",10.4699971239
"325","FKP",2016-09-02,"nakupni",0.7520975473
"326","SHP",2016-09-02,"nakupni",0.7520975473
"327","JEP",2016-09-02,"nakupni",0.7520975473
"328","TMT",2016-09-02,"nakupni",3.5
"329","TVD",2016-09-02,"nakupni",1.3233813044
"330","IMP",2016-09-02,"nakupni",0.7520975473
"331","GGP",2016-09-02,"nakupni",0.7520975473
