"","kratica","datum","tip","tecaj"
"1","USD",1998-01-01,"nakupni",1
"2","EUR",1998-01-01,"nakupni",0.9095016865
"3","GBP",1998-01-01,"nakupni",0.6088531016
"4","INR",1998-01-01,"nakupni",39.0998632011
"5","AUD",1998-01-01,"nakupni",1.5341921632
"6","CAD",1998-01-01,"nakupni",1.4291
"7","SGD",1998-01-01,"nakupni",1.6830761983
"8","CHF",1998-01-01,"nakupni",1.4616958167
"9","MYR",1998-01-01,"nakupni",3.8844794781
"10","JPY",1998-01-01,"nakupni",130.5114155251
"11","CNY",1998-01-01,"nakupni",8.2798377752
"12","NZD",1998-01-01,"nakupni",1.7230528093
"13","THB",1998-01-01,"nakupni",45.9517684887
"14","HUF",1998-01-01,"nakupni",204.1571428571
"15","HKD",1998-01-01,"nakupni",7.75
"16","ZAR",1998-01-01,"nakupni",4.8641933288
"17","PHP",1998-01-01,"nakupni",39.9972012315
"18","SEK",1998-01-01,"nakupni",7.9262340544
"19","IDR",1998-01-01,"nakupni",5292.962962963
"20","SAR",1998-01-01,"nakupni",3.7499344004
"21","BRL",1998-01-01,"nakupni",1.1159612682
"22","KRW",1998-01-01,"nakupni",1695.2550415184
"23","EGP",1998-01-01,"nakupni",3.395343312
"24","NOK",1998-01-01,"nakupni",7.3626996394
"25","DKK",1998-01-01,"nakupni",6.8509108341
"26","PKR",1998-01-01,"nakupni",43.9993842365
"27","ILS",1998-01-01,"nakupni",3.5365008661
"28","XAU",1998-01-01,"nakupni",0.0034837404
"29","CLP",1998-01-01,"nakupni",437.9711921545
"30","TWD",1998-01-01,"nakupni",32.4500454133
"31","CZK",1998-01-01,"nakupni",34.602905569
"32","JOD",1998-01-01,"nakupni",0.7084923901
"33","FJD",1998-01-01,"nakupni",1.5384863817
"34","DZD",1998-01-01,"nakupni",58.5696721311
"35","ISK",1998-01-01,"nakupni",72.3594936709
"36","XAG",1998-01-01,"nakupni",0.1682085687
"37","JMD",1998-01-01,"nakupni",34.7459275468
"38","LBP",1998-01-01,"nakupni",1521.9382321619
"39","TTD",1998-01-01,"nakupni",6.2
